,poisonous
poisonous,1.0
cap-shape_b,-0.18256668950511248
cap-shape_c,0.023007450962256086
cap-shape_f,0.018525863881447197
cap-shape_k,0.16356508085620863
cap-shape_s,-0.06066392808019998
cap-shape_x,-0.026885747348740708
cap-surface_f,-0.19541477669456356
cap-surface_g,0.023007450962255992
cap-surface_s,0.09545448428229956
cap-surface_y,0.08867702391665126
cap-color_b,0.06754404517616519
cap-color_c,-0.030910302793344384
cap-color_e,0.09711241151696093
cap-color_g,-0.04645578646283908
cap-color_n,-0.04435988270150646
cap-color_p,0.03470228376929981
cap-color_r,-0.04285352952368558
cap-color_u,-0.04285352952368571
cap-color_w,-0.13368288213884558
cap-color_y,0.11301388688237958
bruises_f,0.5015303774075575
bruises_t,-0.50153037740756
odor_a,-0.21952922241349918
odor_c,0.16127824377950878
odor_f,0.6238419598140379
odor_l,-0.2195292224134995
odor_m,0.06915876083185794
odor_n,-0.7855566222366998
odor_p,0.18698395047810812
odor_s,0.2863596480470107
odor_y,0.2863596480470102
gill-attachment_a,-0.1291998602678837
gill-attachment_f,0.12919986026788344
gill-spacing_c,0.3483867851842734
gill-spacing_w,-0.34838678518427507
gill-size_b,-0.5400243574330159
gill-size_n,0.5400243574330162
gill-color_b,0.5388081615534446
gill-color_e,-0.10549100033272454
gill-color_g,0.1202846313735368
gill-color_h,0.15069434851292834
gill-color_k,-0.14964064018821704
gill-color_n,-0.28894290102217096
gill-color_o,-0.08596188733731128
gill-color_p,-0.05037972297502915
gill-color_r,0.05642604818907659
gill-color_u,-0.19535917121359508
gill-color_w,-0.23131622231268614
gill-color_y,-0.04682810363234032
stalk-shape_e,0.10201901701656099
stalk-shape_t,-0.10201901701656074
stalk-root_?,0.3020011029737888
stalk-root_b,0.017711782062167232
stalk-root_c,-0.21854760016988373
stalk-root_e,-0.20283885998342335
stalk-root_r,-0.15008688275678633
stalk-surface-above-ring_f,-0.11950320307201834
stalk-surface-above-ring_k,0.5876582576306926
stalk-surface-above-ring_s,-0.4913141807116962
stalk-surface-above-ring_y,-0.01619835223678799
stalk-surface-below-ring_f,-0.13678187461175825
stalk-surface-below-ring_k,0.5735240117095761
stalk-surface-below-ring_s,-0.42544404585500345
stalk-surface-below-ring_y,-0.08167385587597326
stalk-color-above-ring_b,0.24566243917577252
stalk-color-above-ring_c,0.06915876083185794
stalk-color-above-ring_e,-0.10549100033272453
stalk-color-above-ring_g,-0.2664886838764475
stalk-color-above-ring_n,0.2331636864059353
stalk-color-above-ring_o,-0.15008688275678558
stalk-color-above-ring_p,0.23027687482998832
stalk-color-above-ring_w,-0.21774043353232997
stalk-color-above-ring_y,0.03254546629861118
stalk-color-below-ring_b,0.24566243917577277
stalk-color-below-ring_c,0.06915876083185794
stalk-color-below-ring_e,-0.10549100033272449
stalk-color-below-ring_g,-0.2664886838764484
stalk-color-below-ring_n,0.20396577010586373
stalk-color-below-ring_o,-0.15008688275678558
stalk-color-below-ring_p,0.23027687482998738
stalk-color-below-ring_w,-0.21411214894712752
stalk-color-below-ring_y,0.05642604818907648
veil-type_p,
veil-color_n,-0.10549100033272443
veil-color_o,-0.10549100033272449
veil-color_w,0.14054124612753088
veil-color_y,0.03254546629861118
ring-number_n,0.06915876083185794
ring-number_o,0.1821013741723784
ring-number_t,-0.20459959468739053
ring-type_e,0.22328591679316293
ring-type_f,-0.07437139702537998
ring-type_l,0.45161906631733206
ring-type_n,0.06915876083185794
ring-type_p,-0.5404689127747068
spore-print-color_b,-0.07437139702538006
spore-print-color_h,0.4902291705695351
spore-print-color_k,-0.39683220090329024
spore-print-color_n,-0.4166452971072532
spore-print-color_o,-0.07437139702538005
spore-print-color_r,0.09802365435296359
spore-print-color_u,-0.07437139702538043
spore-print-color_w,0.3573840060325166
spore-print-color_y,-0.07437139702538006
population_a,-0.21487139719906043
population_c,-0.1376448547202147
population_n,-0.2195292224134979
population_s,-0.1595715965399436
population_v,0.4437223790553414
population_y,-0.10705486060476377
habitat_d,-0.1261231199145527
habitat_g,-0.1650041459979941
habitat_l,0.15514953289221656
habitat_m,-0.13862663152253307
habitat_p,0.3233457869287497
habitat_u,0.11207815283453412
habitat_w,-0.15008688275678608
