,poisonous
poisonous,1.0
cap-shape,0.11211031703516365
cap-surface,-0.16966305405172927
cap-color,0.04202825176197814
bruises,0.5015303774075575
odor,0.5820154327236085
gill-attachment,-0.1291998602678837
gill-spacing,-0.34838678518427507
gill-size,-0.5400243574330159
gill-color,0.41286942564165185
stalk-shape,-0.10201901701656074
stalk-root,0.33754170499966984
stalk-surface-above-ring,0.5520436410013903
stalk-surface-below-ring,0.5324522904205196
stalk-color-above-ring,0.22529398127468073
stalk-color-below-ring,0.09847579450544361
veil-type,
veil-color,-0.12076593697596329
ring-number,-0.15226082429665516
ring-type,0.5565147182889648
spore-print-color,0.5607152345831541
population,0.15525371142554217
habitat,0.19129693972598574
